platform,board_dir,board_id,board_name,module_id,module_name,module_platforms,module_platform_match,allow_contains_module,resolve_with_allow,status,reason
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,adc,ADC,"esp32,stm32,rp2040,avr,pic,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,ads1115,ADS1115 16-bit ADC + PGA,"esp32,stm32,rp2040,avr,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,bluetooth,Bluetooth Core,esp32,no,no,no,UNSUPPORTED,not_allowed:bluetooth
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,bme280,BME280 Environmental Sensor,"esp32,stm32,rp2040,avr,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,dht22,DHT22 Sensor,"esp32,stm32,rp2040,avr,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,display_ssd1306,SSD1306 Display,"esp32,stm32,rp2040,avr,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,eeprom,EEPROM,"esp32,stm32,rp2040,avr,pic,pic16",yes,no,no,UNSUPPORTED,not_allowed:eeprom
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,fs_sd,SD Card Filesystem,,yes,no,no,UNSUPPORTED,not_allowed:fs_sd
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,fs_spiffs,SPIFFS Filesystem,,yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,gpio,GPIO,"esp32,stm32,rp2040,avr,pic,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,hp4067,HP4067 / 74HC4067 Mux,"esp32,stm32,rp2040,avr,pic16",yes,no,no,UNSUPPORTED,not_allowed:hp4067
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,i2c,I2C Core,,yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,imu,IMU Sensor,"esp32,stm32,rp2040,avr,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,l298n,L298N H-Bridge Driver,"esp32,stm32,rp2040,avr,atmega,atsam,renesas_ra,renesas_rx,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,mcp23017,MCP23017 I/O Expander,"esp32,stm32,rp2040,avr,pic16",yes,no,no,UNSUPPORTED,not_allowed:mcp23017
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,mcp2515,MCP2515 SPI CAN Controller,"esp32,stm32,rp2040,avr,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,mcp2544fd,MCP2544FD CAN PHY,esp32,no,no,no,UNSUPPORTED,not_allowed:mcp2544fd
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,mic,Microphone Input,"esp32,stm32,rp2040",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,psram,PSRAM,esp32,no,no,no,UNSUPPORTED,not_allowed:psram
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,pwm,PWM,"esp32,stm32,rp2040,avr,pic,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,remote_node,Remote Node,"esp32,stm32,rp2040,avr,pic,pic16",yes,no,no,UNSUPPORTED,not_allowed:remote_node
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,rtc,RTC (DS3231/PCF8523),"esp32,stm32,rp2040,avr,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,shell_full,Shell (Full),"esp32,stm32,rp2040,avr,pic,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,shell_min,Shell (Lite),"esp32,stm32,rp2040,avr,pic,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,shell_tiny,Shell (Tiny),"esp32,stm32,rp2040,avr,pic,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,spi,SPI Bus,,yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,tft,TFT Display,"esp32,stm32,rp2040",no,no,no,UNSUPPORTED,not_allowed:tft
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,timer,Timer,"esp32,stm32,rp2040,avr,pic,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,tp4056,TP4056 Li-Ion Charger,"esp32,stm32,rp2040,avr,atmega,atsam,renesas_ra,renesas_rx,pic16",yes,no,no,UNSUPPORTED,not_allowed:tp4056
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,twai,TWAI / CAN,esp32,no,no,no,UNSUPPORTED,not_allowed:twai
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,uart,UART,"esp32,stm32,rp2040,avr,pic,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,uln2003,ULN2003 Stepper Driver,"esp32,stm32,rp2040,avr,atmega,atsam,renesas_ra,renesas_rx,pic16",yes,yes,yes,SUPPORTED,-
atmega,arduino_uno_r3,arduino_uno_r3,Arduino Uno R3,wifi,Wi-Fi (Station),esp32,no,no,no,UNSUPPORTED,not_allowed:wifi
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),adc,ADC,"esp32,stm32,rp2040,avr,pic,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),ads1115,ADS1115 16-bit ADC + PGA,"esp32,stm32,rp2040,avr,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),bluetooth,Bluetooth Core,esp32,no,no,no,UNSUPPORTED,not_allowed:bluetooth
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),bme280,BME280 Environmental Sensor,"esp32,stm32,rp2040,avr,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),dht22,DHT22 Sensor,"esp32,stm32,rp2040,avr,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),display_ssd1306,SSD1306 Display,"esp32,stm32,rp2040,avr,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),eeprom,EEPROM,"esp32,stm32,rp2040,avr,pic,pic16",no,no,no,UNSUPPORTED,not_allowed:eeprom
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),fs_sd,SD Card Filesystem,,yes,no,no,UNSUPPORTED,not_allowed:fs_sd
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),fs_spiffs,SPIFFS Filesystem,,yes,yes,yes,SUPPORTED,-
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),gpio,GPIO,"esp32,stm32,rp2040,avr,pic,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),hp4067,HP4067 / 74HC4067 Mux,"esp32,stm32,rp2040,avr,pic16",no,no,no,UNSUPPORTED,not_allowed:hp4067
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),i2c,I2C Core,,yes,yes,yes,SUPPORTED,-
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),imu,IMU Sensor,"esp32,stm32,rp2040,avr,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),l298n,L298N H-Bridge Driver,"esp32,stm32,rp2040,avr,atmega,atsam,renesas_ra,renesas_rx,pic16",yes,yes,yes,SUPPORTED,-
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),mcp23017,MCP23017 I/O Expander,"esp32,stm32,rp2040,avr,pic16",no,no,no,UNSUPPORTED,not_allowed:mcp23017
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),mcp2515,MCP2515 SPI CAN Controller,"esp32,stm32,rp2040,avr,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),mcp2544fd,MCP2544FD CAN PHY,esp32,no,no,no,UNSUPPORTED,not_allowed:mcp2544fd
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),mic,Microphone Input,"esp32,stm32,rp2040",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),psram,PSRAM,esp32,no,no,no,UNSUPPORTED,not_allowed:psram
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),pwm,PWM,"esp32,stm32,rp2040,avr,pic,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),remote_node,Remote Node,"esp32,stm32,rp2040,avr,pic,pic16",no,no,no,UNSUPPORTED,not_allowed:remote_node
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),rtc,RTC (DS3231/PCF8523),"esp32,stm32,rp2040,avr,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),shell_full,Shell (Full),"esp32,stm32,rp2040,avr,pic,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),shell_min,Shell (Lite),"esp32,stm32,rp2040,avr,pic,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),shell_tiny,Shell (Tiny),"esp32,stm32,rp2040,avr,pic,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),spi,SPI Bus,,yes,yes,yes,SUPPORTED,-
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),tft,TFT Display,"esp32,stm32,rp2040",no,no,no,UNSUPPORTED,not_allowed:tft
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),timer,Timer,"esp32,stm32,rp2040,avr,pic,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),tp4056,TP4056 Li-Ion Charger,"esp32,stm32,rp2040,avr,atmega,atsam,renesas_ra,renesas_rx,pic16",yes,no,no,UNSUPPORTED,not_allowed:tp4056
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),twai,TWAI / CAN,esp32,no,no,no,UNSUPPORTED,not_allowed:twai
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),uart,UART,"esp32,stm32,rp2040,avr,pic,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),uln2003,ULN2003 Stepper Driver,"esp32,stm32,rp2040,avr,atmega,atsam,renesas_ra,renesas_rx,pic16",yes,yes,yes,SUPPORTED,-
atsam,adafruit_circuit_playground_express,adafruit_circuit_playground_express,Adafruit Circuit Playground Express (ATSAMD21),wifi,Wi-Fi (Station),esp32,no,no,no,UNSUPPORTED,not_allowed:wifi
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),adc,ADC,"esp32,stm32,rp2040,avr,pic,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),ads1115,ADS1115 16-bit ADC + PGA,"esp32,stm32,rp2040,avr,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),bluetooth,Bluetooth Core,esp32,no,no,no,UNSUPPORTED,not_allowed:bluetooth
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),bme280,BME280 Environmental Sensor,"esp32,stm32,rp2040,avr,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),dht22,DHT22 Sensor,"esp32,stm32,rp2040,avr,pic16",no,yes,no,UNSUPPORTED,dependency_not_allowed:timer
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),display_ssd1306,SSD1306 Display,"esp32,stm32,rp2040,avr,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),eeprom,EEPROM,"esp32,stm32,rp2040,avr,pic,pic16",no,no,no,UNSUPPORTED,not_allowed:eeprom
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),fs_sd,SD Card Filesystem,,yes,no,no,UNSUPPORTED,not_allowed:fs_sd
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),fs_spiffs,SPIFFS Filesystem,,yes,yes,yes,SUPPORTED,-
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),gpio,GPIO,"esp32,stm32,rp2040,avr,pic,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),hp4067,HP4067 / 74HC4067 Mux,"esp32,stm32,rp2040,avr,pic16",no,no,no,UNSUPPORTED,not_allowed:hp4067
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),i2c,I2C Core,,yes,yes,yes,SUPPORTED,-
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),imu,IMU Sensor,"esp32,stm32,rp2040,avr,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),l298n,L298N H-Bridge Driver,"esp32,stm32,rp2040,avr,atmega,atsam,renesas_ra,renesas_rx,pic16",yes,yes,yes,SUPPORTED,-
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),mcp23017,MCP23017 I/O Expander,"esp32,stm32,rp2040,avr,pic16",no,no,no,UNSUPPORTED,not_allowed:mcp23017
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),mcp2515,MCP2515 SPI CAN Controller,"esp32,stm32,rp2040,avr,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),mcp2544fd,MCP2544FD CAN PHY,esp32,no,no,no,UNSUPPORTED,not_allowed:mcp2544fd
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),mic,Microphone Input,"esp32,stm32,rp2040",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),psram,PSRAM,esp32,no,no,no,UNSUPPORTED,not_allowed:psram
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),pwm,PWM,"esp32,stm32,rp2040,avr,pic,pic16",no,yes,no,UNSUPPORTED,dependency_not_allowed:timer
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),remote_node,Remote Node,"esp32,stm32,rp2040,avr,pic,pic16",no,no,no,UNSUPPORTED,not_allowed:remote_node
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),rtc,RTC (DS3231/PCF8523),"esp32,stm32,rp2040,avr,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),shell_full,Shell (Full),"esp32,stm32,rp2040,avr,pic,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),shell_min,Shell (Lite),"esp32,stm32,rp2040,avr,pic,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),shell_tiny,Shell (Tiny),"esp32,stm32,rp2040,avr,pic,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),spi,SPI Bus,,yes,yes,yes,SUPPORTED,-
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),tft,TFT Display,"esp32,stm32,rp2040",no,no,no,UNSUPPORTED,not_allowed:tft
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),timer,Timer,"esp32,stm32,rp2040,avr,pic,pic16",no,no,no,UNSUPPORTED,not_allowed:timer
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),tp4056,TP4056 Li-Ion Charger,"esp32,stm32,rp2040,avr,atmega,atsam,renesas_ra,renesas_rx,pic16",yes,no,no,UNSUPPORTED,not_allowed:tp4056
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),twai,TWAI / CAN,esp32,no,no,no,UNSUPPORTED,not_allowed:twai
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),uart,UART,"esp32,stm32,rp2040,avr,pic,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),uln2003,ULN2003 Stepper Driver,"esp32,stm32,rp2040,avr,atmega,atsam,renesas_ra,renesas_rx,pic16",yes,yes,yes,SUPPORTED,-
atsam,arduino_zero,arduino_zero,Arduino Zero (SAMD21G18),wifi,Wi-Fi (Station),esp32,no,no,no,UNSUPPORTED,not_allowed:wifi
atsam,seeeduino_xiao_samd21,seeeduino_xiao_samd21,Seeeduino XIAO (SAMD21),adc,ADC,"esp32,stm32,rp2040,avr,pic,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,seeeduino_xiao_samd21,seeeduino_xiao_samd21,Seeeduino XIAO (SAMD21),ads1115,ADS1115 16-bit ADC + PGA,"esp32,stm32,rp2040,avr,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,seeeduino_xiao_samd21,seeeduino_xiao_samd21,Seeeduino XIAO (SAMD21),bluetooth,Bluetooth Core,esp32,no,no,no,UNSUPPORTED,not_allowed:bluetooth
atsam,seeeduino_xiao_samd21,seeeduino_xiao_samd21,Seeeduino XIAO (SAMD21),bme280,BME280 Environmental Sensor,"esp32,stm32,rp2040,avr,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
atsam,seeeduino_xiao_samd21,seeeduino_xiao_samd21,Seeeduino XIAO (SAMD21),dht22,DHT22 Sensor,"esp32,stm32,rp2040,avr,pic16",no,yes,no,UNSUPPORTED,dependency_not_allowed:timer
atsam,seeeduino_xiao_samd21,seeeduino_xiao_samd21,Seeeduino XIAO (SAMD21),display_ssd1306,SSD1306 Display,"esp32,stm32,rp2040,avr,pic16",no,yes,yes,CAPABILITY_ONLY,module_platform_mismatch
